Loop 	 Time(Sec) 	 Checksum 
S000	 0.67 		32000.000000 
S111	 1.22 		32000.410156 
S1111	 1.24 		 16005.411133 
S112	 1.00 		84617.781250 
S1112	 0.94 		 32001.642578 
S113	 1.33 		32000.642578 
S1113	 2.52 		32001.642578 
S114	 3.23 		2634.272461 
S115	 1.64 		31746.753906 
S1115	 2.49 		0.065536 
S116	 7.14 		32000.000000 
S118	 4.31 		1239551.000000 
S119	 0.55 		 86338.992188 
S1119	 0.49 		 106399.179688 
S121	 1.01 		32009.031250 
S122	 0.31 		361015.062500 
S123	 1.71 		32003.287109 
S124	 0.80 		32001.642578 
S125	 0.57 		131072.000000 
S126	 1.60 		344040.281250 
S127	 0.93 		32003.287109 
S128	 1.38 		80000.000000 
S131	 1.68 		32009.031250 
S132	 0.79 		65538.562500 
S141	 2.94 		1055943.750000 
S151	 1.68 		32009.031250 
S152	 0.81 		272426.593750 
S161	 1.34 		64002.054688 
S1161	 0.81 		64001.640625 
S162	 0.48 		32009.031250 
S171	 0.31 		361015.906250 
S172	 0.30 		361015.906250 
S173	 2.35 		32001.638672 
S174	 2.33 		32001.638672 
S175	 0.33 		32009.031250 
S176	 0.19 		32127.662109 
S211	 2.69 		63983.183594 
S212	 2.67 		231880.640625 
S1213	 2.45 		32023.205078 
S221	 1.78 		2575496448.000000 
S1221	 0.88 		128032376.000000 
S222	 1.77 		32000.000000 
S231	 0.24 		106399.179688 
S232	 1.52 		65536.000000 
S1232	 13.67 		32896.000000 
S233	 36.91 		504911.687500 
S2233	 15.86 		672170.187500 
S235	 4.36 		41317736.000000 
S241	 5.14 		64000.000000 
S242	 0.71 		1535961344.000000 
S243	 0.86 		1557284.000000 
S244	 3.00 		76204.609375 
S1244	 2.43 		95998.000000 
S2244	 0.71 		64000.000000 
S251	 2.47 		32004.371094 
S1251	 3.11 		800002.000000 
S2251	 2.68 		2.635709 
S3251	 2.64 		12.595594 
S252	 0.46 		63999.000000 
S253	 0.61 		6399934464.000000 
S254	 1.23 		32000.000000 
S255	 1.81 		31968.515625 
S256	 1.05 		162944.000000 
S257	 2.20 		163072.000000 
S258	 0.02 		264.967438 
S261	 2.71 		489678.281250 
S271	 1.80 		1346226.250000 
S272	 0.78 		722031.812500 
S273	 0.86 		102103.343750 
S274	 0.79 		6400354816.000000 
S275	 2.47 		65536.000000 
S2275	 1.61 		65536.000000 
S276	 2.47 		1346226.250000 
S277	 3.06 		-15986.097656 
S278	 0.81 		64012.593750 
S279	 0.41 		64014.289062 
S1279	 0.80 		361053.187500 
S2710	 0.44 		96003.281250 
S2711	 1.84 		1346226.250000 
S2712	 1.85 		546222.625000 
S281	 2.50 		32000.000000 
S1281	 3.19 		inf 
S291	 0.63 		32000.000000 
S292	 1.87 		31968.515625 
S293	 4.90 		32000.000000 
S2101	 0.60 		3339663.250000 
S2102	 4.11 		256.000000 
S2111	 2.53 		3.000000 
S311	 2.19 		10.950724 
S31111	 0.46 		10.950724 
S312	 2.19 		1.030958 
S313	 1.50 		1.644884 
S314	 0.75 		1.000000 
S315	 3.58 		54857.000000 
S316	 0.79 		0.000031 
S317	 0.53 		0.000000 
S318	 2.46 		32002.000000 
S319	 1.62 		43.802895 
S3110	 2.32 		514.000000 
S13110	 0.12 		4.000000 
S3111	 0.11 		10.950724 
S3112	 3.58 		52626.507812 
S3113	 0.97 		2.000000 
S321	 4.78 		32000.000000 
S322	 3.57 		32000.000000 
S323	 4.76 		146484.968750 
S331	 0.20 		32000.000000 
S332	 1.22 		2.000000 
S341	 1.89 		10.950724 
S342	 2.03 		10.950724 
S343	 0.78 		1567.836060 
S351	 2.42 		51200004096.000000 
S1351	 3.79 		32010.253906 
S352	 2.41 		1.644899 
S353	 1.42 		6400001536.000000 
S421	 1.34 		32009.031250 
S1421	 1.89 		16000.000000 
S422	 2.68 		5079.714355 
S423	 1.34 		32000.703125 
S424	 1.20 		32822.296875 
S431	 3.00 		3313504.750000 
S441	 0.62 		2002224.000000 
S442	 1.23 		196491.250000 
S443	 1.24 		689753.437500 
S451	 0.56 		32009.281250 
S452	 1.90 		32512.017578 
S453	 0.62 		21.901445 
S471	 0.46 		64004.929688 
S481	 2.54 		361015.906250 
S482	 2.11 		361015.906250 
S491	 2.74 		32001.644531 
S4112	 1.33 		2221953.500000 
S4113	 1.98 		32001.644531 
S4114	 2.32 		32000.000000 
S4115	 1.17 		1.038800 
S4116	 1.04 		0.040034 
S4117	 2.33 		32002.207031 
S4121	 0.46 		361015.906250 
va	 3.10 		1.644884 
vag	 2.62 		1.644884 
vas	 3.07 		1.644885 
vif	 0.31 		1.644884 
vpv	 3.00 		3281833.000000 
vtv	 2.99 		32000.000000 
vpvtv	 1.84 		1346226.250000 
vpvts	 0.30 		361015.906250 
vpvpv	 1.83 		1.644725 
vtvtv	 1.80 		32000.000000 
vsumr	 2.13 		10.950724 
vdotr	 2.94 		1.644884 
vbor	 0.09 		31924.324219 
