Loop 	 Time(Sec) 	 Checksum 
S000	 2.46 		32000.000000 
S111	 1.28 		32000.410156 
S1111	 2.46 		 16005.412109 
S112	 4.35 		84644.898438 
S1112	 3.66 		 32001.640625 
S113	 4.86 		32000.640625 
S1113	 2.51 		32001.640625 
S114	 2.43 		2634.220215 
S115	 9.33 		31746.753906 
S1115	 2.51 		0.065485 
S116	 12.03 		32000.000000 
S118	 3.93 		1239551.000000 
S119	 2.16 		 86333.179688 
S1119	 2.02 		 106405.335938 
S121	 3.82 		32009.023438 
S122	 1.28 		361014.156250 
S123	 1.84 		32003.283203 
S124	 2.11 		32001.640625 
S125	 1.52 		131072.000000 
S126	 1.52 		344012.531250 
S127	 3.05 		32003.283203 
S128	 2.51 		80000.000000 
S131	 6.37 		32009.023438 
S132	 6.34 		65538.562500 
S141	 2.90 		1055941.750000 
S151	 6.37 		32009.023438 
S152	 2.76 		272427.312500 
S161	 1.26 		64002.054688 
S1161	 2.12 		64001.640625 
S162	 1.87 		32009.023438 
S171	 1.24 		361034.031250 
S172	 1.25 		361034.031250 
S173	 6.23 		32001.626953 
S174	 6.38 		32001.626953 
S175	 1.25 		32009.023438 
S176	 0.86 		32127.939453 
S211	 2.61 		63983.308594 
S212	 2.49 		231895.546875 
S1213	 2.42 		32021.820312 
S221	 1.78 		2575497984.000000 
S1221	 3.53 		128037192.000000 
S222	 1.73 		32000.000000 
S231	 1.04 		106405.335938 
S232	 2.41 		65536.000000 
S1232	 14.27 		32893.511719 
S233	 37.38 		504937.406250 
S2233	 15.54 		672224.750000 
S235	 29.18 		41319268.000000 
S241	 5.26 		64000.000000 
S242	 0.72 		1535966336.000000 
S243	 3.16 		1557197.000000 
S244	 3.67 		76228.078125 
S1244	 2.94 		95998.000000 
S2244	 1.87 		64000.000000 
S251	 7.45 		32004.367188 
S1251	 14.38 		800001.812500 
S2251	 2.58 		2.635389 
S3251	 3.73 		12.595580 
S252	 1.47 		63999.000000 
S253	 2.87 		6401609728.000000 
S254	 5.86 		32000.000000 
S255	 2.06 		31953.501953 
S256	 1.15 		162944.000000 
S257	 2.11 		163072.000000 
S258	 0.03 		264.967377 
S261	 2.76 		489708.187500 
S271	 7.32 		1346302.125000 
S272	 3.15 		722068.062500 
S273	 2.98 		102115.062500 
S274	 2.86 		6402028544.000000 
S275	 2.62 		65536.000000 
S2275	 35.82 		65536.000000 
S276	 9.66 		1346302.125000 
S277	 3.07 		-15986.097656 
S278	 3.61 		64012.589844 
S279	 2.03 		64014.289062 
S1279	 2.12 		361018.593750 
S2710	 1.53 		96003.281250 
S2711	 7.34 		1346302.125000 
S2712	 8.40 		546213.562500 
S281	 2.50 		32000.000000 
S1281	 12.71 		inf 
S291	 2.95 		32000.000000 
S292	 2.08 		31953.501953 
S293	 4.87 		32000.000000 
S2101	 0.57 		3339663.250000 
S2102	 4.02 		256.000000 
S2111	 2.53 		3.000000 
S311	 35.25 		10.950721 
S31111	 1.36 		10.950721 
S312	 35.13 		1.030518 
S313	 17.93 		1.644725 
S314	 11.95 		1.000000 
S315	 3.55 		54857.000000 
S316	 11.52 		0.000031 
S317	 8.66 		0.000000 
S318	 1.79 		32002.000000 
S319	 7.11 		43.802883 
S3110	 2.50 		514.000000 
S13110	 1.86 		4.000000 
S3111	 1.74 		10.950721 
S3112	 3.49 		52619.914062 
S3113	 13.37 		2.000000 
S321	 6.90 		32000.000000 
S322	 4.31 		32000.000000 
S323	 3.50 		146472.437500 
S331	 1.18 		32000.000000 
S332	 1.18 		2.000000 
S341	 1.85 		10.950721 
S342	 1.91 		10.950721 
S343	 0.73 		1567.842896 
S351	 9.88 		51213414400.000000 
S1351	 10.13 		32008.869141 
S352	 11.29 		1.644809 
S353	 1.88 		6401676800.000000 
S421	 4.99 		32009.023438 
S1421	 5.07 		16000.000000 
S422	 10.02 		5079.864746 
S423	 4.99 		32000.683594 
S424	 4.90 		32818.730469 
S431	 12.46 		3313578.000000 
S441	 3.01 		2002244.625000 
S442	 1.24 		196500.265625 
S443	 4.10 		689788.562500 
S451	 4.95 		32007.896484 
S452	 9.24 		32511.939453 
S453	 6.98 		21.901442 
S471	 1.32 		64004.925781 
S481	 2.46 		361034.031250 
S482	 2.39 		361034.031250 
S491	 2.48 		32001.640625 
S4112	 1.78 		2221950.500000 
S4113	 1.93 		32001.640625 
S4114	 2.24 		32000.000000 
S4115	 3.52 		1.038636 
S4116	 2.61 		0.040034 
S4117	 1.85 		32002.205078 
S4121	 1.83 		361034.031250 
va	 3.01 		1.644725 
vag	 2.83 		1.644725 
vas	 2.96 		1.644725 
vif	 2.33 		1.644725 
vpv	 12.46 		3281485.750000 
vtv	 12.45 		32000.000000 
vpvtv	 7.30 		1346302.125000 
vpvts	 1.44 		361034.031250 
vpvpv	 7.30 		1.644725 
vtvtv	 7.30 		32000.000000 
vsumr	 34.31 		10.950721 
vdotr	 35.31 		1.644725 
vbor	 0.86 		31924.320312 
